ONSConstID,ConstituencyName,RegionID,RegionName,CON# All categories ,CON# Not in employment,CON# In Employement ,CON# Work mainly at or from home,"CON%
Work mainly at or from home","REG% 
Work mainly at or from home","E&W% 
Work mainly at or from home","CON# Underground, metro, light rail, tram","CON% Underground, metro, light rail, tram","REG% Underground, metro, light rail, tram","E&W% Underground, metro, light rail, tram",CON# Train,CON% Train,REG% Train,E&W% Train,"CON# Bus, minibus or coach","CON% Bus, minibus or coach","REG% Bus, minibus or coach","E&W% Bus, minibus or coach",CON# Taxi,CON% Taxi,REG% Taxi,E&W% Taxi,"CON# Motorcycle, scooter or moped","CON% Motorcycle, scooter or moped","REG% Motorcycle, scooter or moped","E&W% Motorcycle, scooter or moped",CON# Driving a car or van,CON% Driving a car or van,REG% Driving a car or van,E&W% Driving a car or van,CON# Passenger in a car or van,CON% Passenger in a car or van,REG% Passenger in a car or van,E&W% Passenger in a car or van,CON# Bicycle,CON% Bicycle,REG% Bicycle,E&W% Bicycle,CON# On foot,CON% On foot,REG% On foot,E&W% On foot,CON# Other method of travel to work,CON% Other method of travel to work,REG% Other method of travel to work,E&W% Other method of travel to work
E14000754,Houghton and Sunderland South,E12000001,North East,"64,291","26,214","38,077",942,2%,4%,5%,298,1%,3%,4%,216,1%,1%,5%,"4,613",12%,9%,7%,204,1%,1%,1%,153,0%,0%,1%,"25,345",67%,62%,58%,"2,955",8%,7%,5%,346,1%,2%,3%,"2,712",7%,11%,11%,293,1%,1%,1%
E14000765,Jarrow,E12000001,North East,"61,131","23,420","37,711",893,2%,4%,5%,"4,547",12%,3%,4%,632,2%,1%,5%,"2,995",8%,9%,7%,186,0%,1%,1%,182,0%,0%,1%,"21,688",58%,62%,58%,"2,297",6%,7%,5%,859,2%,2%,3%,"2,930",8%,11%,11%,502,1%,1%,1%
E14000819,Middlesbrough,E12000001,North East,"68,251","33,134","35,117",821,2%,4%,5%,29,0%,3%,4%,419,1%,1%,5%,"3,488",10%,9%,7%,785,2%,1%,1%,135,0%,0%,1%,"19,255",55%,62%,58%,"3,309",9%,7%,5%,"1,030",3%,2%,3%,"5,458",16%,11%,11%,388,1%,1%,1%
E14000820,Middlesbrough South and East Cleveland,E12000001,North East,"67,850","28,085","39,765","1,346",3%,4%,5%,31,0%,3%,4%,631,2%,1%,5%,"2,508",6%,9%,7%,227,1%,1%,1%,166,0%,0%,1%,"27,329",69%,62%,58%,"2,657",7%,7%,5%,517,1%,2%,3%,"3,866",10%,11%,11%,487,1%,1%,1%
E14000831,Newcastle upon Tyne Central,E12000001,North East,"69,266","32,602","36,664","1,208",3%,4%,5%,"1,169",3%,3%,4%,471,1%,1%,5%,"8,500",23%,9%,7%,421,1%,1%,1%,90,0%,0%,1%,"16,184",44%,62%,58%,"2,299",6%,7%,5%,863,2%,2%,3%,"5,177",14%,11%,11%,282,1%,1%,1%
E14000832,Newcastle upon Tyne East,E12000001,North East,"77,769","36,741","41,028","1,353",3%,4%,5%,"2,716",7%,3%,4%,586,1%,1%,5%,"7,535",18%,9%,7%,412,1%,1%,1%,118,0%,0%,1%,"16,853",41%,62%,58%,"2,028",5%,7%,5%,"1,588",4%,2%,3%,"7,576",18%,11%,11%,263,1%,1%,1%
E14000833,Newcastle upon Tyne North,E12000001,North East,"65,829","24,186","41,643","1,427",3%,4%,5%,"2,529",6%,3%,4%,403,1%,1%,5%,"6,102",15%,9%,7%,281,1%,1%,1%,144,0%,0%,1%,"23,814",57%,62%,58%,"2,540",6%,7%,5%,857,2%,2%,3%,"3,240",8%,11%,11%,306,1%,1%,1%
E14000840,North Durham,E12000001,North East,"64,703","24,628","40,075","1,400",3%,4%,5%,65,0%,3%,4%,368,1%,1%,5%,"3,390",8%,9%,7%,234,1%,1%,1%,201,1%,0%,1%,"27,787",69%,62%,58%,"3,146",8%,7%,5%,291,1%,2%,3%,"2,973",7%,11%,11%,220,1%,1%,1%
E14000853,North Tyneside,E12000001,North East,"75,995","27,017","48,978","1,211",2%,4%,5%,"3,258",7%,3%,4%,614,1%,1%,5%,"6,205",13%,9%,7%,440,1%,1%,1%,273,1%,0%,1%,"27,744",57%,62%,58%,"3,480",7%,7%,5%,"1,316",3%,2%,3%,"3,991",8%,11%,11%,446,1%,1%,1%
E14000856,North West Durham,E12000001,North East,"68,240","25,395","42,845","2,176",5%,4%,5%,55,0%,3%,4%,214,0%,1%,5%,"2,270",5%,9%,7%,402,1%,1%,1%,182,0%,0%,1%,"30,127",70%,62%,58%,"3,084",7%,7%,5%,279,1%,2%,3%,"3,736",9%,11%,11%,320,1%,1%,1%
E14000891,Redcar,E12000001,North East,"63,627","27,608","36,019",881,2%,4%,5%,27,0%,3%,4%,861,2%,1%,5%,"2,351",7%,9%,7%,359,1%,1%,1%,155,0%,0%,1%,"23,843",66%,62%,58%,"2,833",8%,7%,5%,744,2%,2%,3%,"3,470",10%,11%,11%,495,1%,1%,1%
E14000915,Sedgefield,E12000001,North East,"61,924","24,026","37,898","1,684",4%,4%,5%,31,0%,3%,4%,321,1%,1%,5%,"1,757",5%,9%,7%,169,0%,1%,1%,192,1%,0%,1%,"26,795",71%,62%,58%,"2,955",8%,7%,5%,549,1%,2%,3%,"3,193",8%,11%,11%,252,1%,1%,1%
E14000944,South Shields,E12000001,North East,"60,536","25,429","35,107",843,2%,4%,5%,"2,544",7%,3%,4%,603,2%,1%,5%,"4,128",12%,9%,7%,187,1%,1%,1%,198,1%,0%,1%,"19,426",55%,62%,58%,"2,038",6%,7%,5%,716,2%,2%,3%,"3,593",10%,11%,11%,831,2%,1%,1%
E14000970,Stockton North,E12000001,North East,"67,112","27,925","39,187","1,096",3%,4%,5%,45,0%,3%,4%,402,1%,1%,5%,"3,044",8%,9%,7%,312,1%,1%,1%,204,1%,0%,1%,"25,587",65%,62%,58%,"3,098",8%,7%,5%,810,2%,2%,3%,"4,150",11%,11%,11%,439,1%,1%,1%
E14000971,Stockton South,E12000001,North East,"73,542","25,607","47,935","1,751",4%,4%,5%,57,0%,3%,4%,764,2%,1%,5%,"2,071",4%,9%,7%,330,1%,1%,1%,213,0%,0%,1%,"34,835",73%,62%,58%,"3,062",6%,7%,5%,905,2%,2%,3%,"3,368",7%,11%,11%,579,1%,1%,1%
E14000982,Sunderland Central,E12000001,North East,"75,066","32,015","43,051","1,182",3%,4%,5%,"1,786",4%,3%,4%,467,1%,1%,5%,"5,381",12%,9%,7%,274,1%,1%,1%,180,0%,0%,1%,"24,032",56%,62%,58%,"3,120",7%,7%,5%,597,1%,2%,3%,"5,622",13%,11%,11%,410,1%,1%,1%
E14001006,Tynemouth,E12000001,North East,"71,894","24,846","47,048","2,027",4%,4%,5%,"5,392",11%,3%,4%,840,2%,1%,5%,"2,509",5%,9%,7%,361,1%,1%,1%,206,0%,0%,1%,"27,483",58%,62%,58%,"2,605",6%,7%,5%,"1,083",2%,2%,3%,"3,983",8%,11%,11%,559,1%,1%,1%
E14001014,Wansbeck,E12000001,North East,"59,948","23,609","36,339","1,310",4%,4%,5%,70,0%,3%,4%,361,1%,1%,5%,"2,505",7%,9%,7%,137,0%,1%,1%,172,0%,0%,1%,"24,572",68%,62%,58%,"2,665",7%,7%,5%,537,1%,2%,3%,"3,729",10%,11%,11%,281,1%,1%,1%
E14001020,Washington and Sunderland West,E12000001,North East,"66,195","25,812","40,383",947,2%,4%,5%,714,2%,3%,4%,238,1%,1%,5%,"5,380",13%,9%,7%,317,1%,1%,1%,193,0%,0%,1%,"24,582",61%,62%,58%,"3,482",9%,7%,5%,667,2%,2%,3%,"3,565",9%,11%,11%,298,1%,1%,1%
E14000532,Altrincham and Sale West,E12000002,North West,"69,014","20,823","48,191","3,453",7%,4%,5%,"2,859",6%,1%,4%,630,1%,3%,5%,"1,883",4%,8%,7%,160,0%,1%,1%,191,0%,1%,1%,"31,955",66%,63%,58%,"1,910",4%,6%,5%,"1,187",2%,2%,3%,"3,668",8%,11%,11%,295,1%,1%,1%
E14000537,Ashton-under-Lyne,E12000002,North West,"66,539","25,229","41,310","1,237",3%,4%,5%,96,0%,1%,4%,835,2%,3%,5%,"5,986",14%,8%,7%,319,1%,1%,1%,256,1%,1%,1%,"24,418",59%,63%,58%,"2,570",6%,6%,5%,655,2%,2%,3%,"4,726",11%,11%,11%,212,1%,1%,1%
E14000543,Barrow and Furness,E12000002,North West,"65,815","25,029","40,786","1,564",4%,4%,5%,41,0%,1%,4%,702,2%,3%,5%,"1,857",5%,8%,7%,461,1%,1%,1%,616,2%,1%,1%,"23,744",58%,63%,58%,"2,906",7%,6%,5%,"1,885",5%,2%,3%,"6,707",16%,11%,11%,303,1%,1%,1%
E14000559,Birkenhead,E12000002,North West,"64,665","27,870","36,795","1,190",3%,4%,5%,459,1%,1%,4%,"2,187",6%,3%,5%,"3,611",10%,8%,7%,387,1%,1%,1%,295,1%,1%,1%,"21,185",58%,63%,58%,"2,660",7%,6%,5%,593,2%,2%,3%,"3,909",11%,11%,11%,319,1%,1%,1%
E14000570,Blackburn,E12000002,North West,"74,626","33,877","40,749","1,411",3%,4%,5%,28,0%,1%,4%,647,2%,3%,5%,"2,331",6%,8%,7%,898,2%,1%,1%,199,0%,1%,1%,"24,986",61%,63%,58%,"3,654",9%,6%,5%,429,1%,2%,3%,"5,879",14%,11%,11%,287,1%,1%,1%
E14000571,Blackley and Broughton,E12000002,North West,"77,907","36,116","41,791","1,482",4%,4%,5%,"1,051",3%,1%,4%,758,2%,3%,5%,"8,569",21%,8%,7%,561,1%,1%,1%,173,0%,1%,1%,"19,262",46%,63%,58%,"2,453",6%,6%,5%,847,2%,2%,3%,"6,296",15%,11%,11%,339,1%,1%,1%
E14000572,Blackpool North and Cleveleys,E12000002,North West,"60,126","24,176","35,950","1,623",5%,4%,5%,25,0%,1%,4%,363,1%,3%,5%,"2,858",8%,8%,7%,323,1%,1%,1%,366,1%,1%,1%,"22,137",62%,63%,58%,"2,606",7%,6%,5%,996,3%,2%,3%,"4,329",12%,11%,11%,324,1%,1%,1%
E14000573,Blackpool South,E12000002,North West,"59,779","24,421","35,358","2,083",6%,4%,5%,26,0%,1%,4%,257,1%,3%,5%,"2,907",8%,8%,7%,353,1%,1%,1%,302,1%,1%,1%,"19,590",55%,63%,58%,"2,695",8%,6%,5%,"1,207",3%,2%,3%,"5,597",16%,11%,11%,341,1%,1%,1%
E14000578,Bolton North East,E12000002,North West,"69,244","27,791","41,453","1,531",4%,4%,5%,72,0%,1%,4%,"1,542",4%,3%,5%,"2,868",7%,8%,7%,579,1%,1%,1%,251,1%,1%,1%,"26,839",65%,63%,58%,"2,836",7%,6%,5%,401,1%,2%,3%,"4,339",10%,11%,11%,195,0%,1%,1%
E14000579,Bolton South East,E12000002,North West,"72,548","30,403","42,145","1,284",3%,4%,5%,156,0%,1%,4%,"1,223",3%,3%,5%,"3,486",8%,8%,7%,814,2%,1%,1%,309,1%,1%,1%,"25,939",62%,63%,58%,"3,274",8%,6%,5%,494,1%,2%,3%,"4,914",12%,11%,11%,252,1%,1%,1%
E14000580,Bolton West,E12000002,North West,"69,893","23,751","46,142","2,044",4%,4%,5%,56,0%,1%,4%,"2,035",4%,3%,5%,"2,485",5%,8%,7%,209,0%,1%,1%,305,1%,1%,1%,"32,213",70%,63%,58%,"2,707",6%,6%,5%,493,1%,2%,3%,"3,361",7%,11%,11%,234,1%,1%,1%
E14000581,Bootle,E12000002,North West,"72,196","29,949","42,247",954,2%,4%,5%,230,1%,1%,4%,"3,358",8%,3%,5%,"5,141",12%,8%,7%,805,2%,1%,1%,210,0%,1%,1%,"22,229",53%,63%,58%,"2,965",7%,6%,5%,"1,050",2%,2%,3%,"5,003",12%,11%,11%,302,1%,1%,1%
E14000609,Burnley,E12000002,North West,"63,376","25,243","38,133","1,258",3%,4%,5%,20,0%,1%,4%,249,1%,3%,5%,"3,232",8%,8%,7%,331,1%,1%,1%,216,1%,1%,1%,"24,554",64%,63%,58%,"3,061",8%,6%,5%,402,1%,2%,3%,"4,617",12%,11%,11%,193,1%,1%,1%
E14000611,Bury North,E12000002,North West,"63,853","22,432","41,421","1,762",4%,4%,5%,"1,184",3%,1%,4%,185,0%,3%,5%,"2,558",6%,8%,7%,363,1%,1%,1%,208,1%,1%,1%,"27,898",67%,63%,58%,"2,306",6%,6%,5%,514,1%,2%,3%,"4,257",10%,11%,11%,186,0%,1%,1%
E14000612,Bury South,E12000002,North West,"70,834","24,219","46,615","2,083",4%,4%,5%,"3,111",7%,1%,4%,370,1%,3%,5%,"3,211",7%,8%,7%,355,1%,1%,1%,259,1%,1%,1%,"30,449",65%,63%,58%,"2,626",6%,6%,5%,681,1%,2%,3%,"3,233",7%,11%,11%,237,1%,1%,1%
E14000620,Carlisle,E12000002,North West,"63,615","20,845","42,770","1,550",4%,4%,5%,22,0%,1%,4%,260,1%,3%,5%,"3,417",8%,8%,7%,180,0%,1%,1%,239,1%,1%,1%,"24,890",58%,63%,58%,"2,867",7%,6%,5%,"1,264",3%,2%,3%,"7,883",18%,11%,11%,198,0%,1%,1%
E14000627,Cheadle,E12000002,North West,"65,139","21,296","43,843","3,007",7%,4%,5%,96,0%,1%,4%,"2,221",5%,3%,5%,"1,913",4%,8%,7%,132,0%,1%,1%,198,0%,1%,1%,"30,642",70%,63%,58%,"1,748",4%,6%,5%,876,2%,2%,3%,"2,777",6%,11%,11%,233,1%,1%,1%
E14000637,Chorley,E12000002,North West,"70,407","22,551","47,856","2,346",5%,4%,5%,29,0%,1%,4%,"1,196",2%,3%,5%,"1,529",3%,8%,7%,143,0%,1%,1%,336,1%,1%,1%,"34,412",72%,63%,58%,"2,782",6%,6%,5%,675,1%,2%,3%,"4,210",9%,11%,11%,198,0%,1%,1%
E14000640,City of Chester,E12000002,North West,"69,629","23,942","45,687","2,513",6%,4%,5%,84,0%,1%,4%,"1,220",3%,3%,5%,"2,756",6%,8%,7%,387,1%,1%,1%,226,0%,1%,1%,"27,103",59%,63%,58%,"2,413",5%,6%,5%,"1,749",4%,2%,3%,"6,970",15%,11%,11%,266,1%,1%,1%
E14000646,Congleton,E12000002,North West,"67,797","23,011","44,786","3,156",7%,4%,5%,41,0%,1%,4%,"1,034",2%,3%,5%,624,1%,8%,7%,75,0%,1%,1%,272,1%,1%,1%,"33,144",74%,63%,58%,"1,984",4%,6%,5%,747,2%,2%,3%,"3,492",8%,11%,11%,217,0%,1%,1%
E14000647,Copeland,E12000002,North West,"60,244","22,174","38,070","2,125",6%,4%,5%,22,0%,1%,4%,552,1%,3%,5%,"1,615",4%,8%,7%,194,1%,1%,1%,300,1%,1%,1%,"24,361",64%,63%,58%,"3,388",9%,6%,5%,690,2%,2%,3%,"4,585",12%,11%,11%,238,1%,1%,1%
E14000653,Crewe and Nantwich,E12000002,North West,"78,699","27,045","51,654","2,470",5%,4%,5%,42,0%,1%,4%,"1,240",2%,3%,5%,"1,344",3%,8%,7%,185,0%,1%,1%,535,1%,1%,1%,"33,829",65%,63%,58%,"3,588",7%,6%,5%,"2,525",5%,2%,3%,"5,642",11%,11%,11%,254,0%,1%,1%
E14000661,Denton and Reddish,E12000002,North West,"63,408","21,786","41,622","1,280",3%,4%,5%,69,0%,1%,4%,886,2%,3%,5%,"5,691",14%,8%,7%,184,0%,1%,1%,262,1%,1%,1%,"26,453",64%,63%,58%,"2,300",6%,6%,5%,723,2%,2%,3%,"3,603",9%,11%,11%,171,0%,1%,1%
E14000686,Eddisbury,E12000002,North West,"62,580","21,492","41,088","3,828",9%,4%,5%,50,0%,1%,4%,497,1%,3%,5%,715,2%,8%,7%,124,0%,1%,1%,247,1%,1%,1%,"29,277",71%,63%,58%,"2,121",5%,6%,5%,748,2%,2%,3%,"3,210",8%,11%,11%,271,1%,1%,1%
E14000688,Ellesmere Port and Neston,E12000002,North West,"64,039","22,320","41,719","1,532",4%,4%,5%,72,0%,1%,4%,949,2%,3%,5%,"1,511",4%,8%,7%,272,1%,1%,1%,342,1%,1%,1%,"29,515",71%,63%,58%,"2,735",7%,6%,5%,"1,181",3%,2%,3%,"3,285",8%,11%,11%,325,1%,1%,1%
E14000706,Fylde,E12000002,North West,"59,057","21,191","37,866","2,280",6%,4%,5%,34,0%,1%,4%,470,1%,3%,5%,"1,658",4%,8%,7%,170,0%,1%,1%,267,1%,1%,1%,"25,996",69%,63%,58%,"1,899",5%,6%,5%,"1,036",3%,2%,3%,"3,834",10%,11%,11%,222,1%,1%,1%
E14000708,Garston and Halewood,E12000002,North West,"71,482","29,088","42,394","1,260",3%,4%,5%,231,1%,1%,4%,"2,420",6%,3%,5%,"6,051",14%,8%,7%,520,1%,1%,1%,194,0%,1%,1%,"24,616",58%,63%,58%,"2,560",6%,6%,5%,878,2%,2%,3%,"3,380",8%,11%,11%,284,1%,1%,1%
E14000725,Halton,E12000002,North West,"69,996","26,475","43,521","1,107",3%,4%,5%,29,0%,1%,4%,861,2%,3%,5%,"2,768",6%,8%,7%,275,1%,1%,1%,265,1%,1%,1%,"29,558",68%,63%,58%,"3,204",7%,6%,5%,922,2%,2%,3%,"4,310",10%,11%,11%,222,1%,1%,1%
E14000738,Hazel Grove,E12000002,North West,"57,080","19,458","37,622","1,974",5%,4%,5%,38,0%,1%,4%,"2,133",6%,3%,5%,"2,489",7%,8%,7%,109,0%,1%,1%,241,1%,1%,1%,"25,397",68%,63%,58%,"1,603",4%,6%,5%,571,2%,2%,3%,"2,865",8%,11%,11%,202,1%,1%,1%
E14000747,Heywood and Middleton,E12000002,North West,"75,991","28,476","47,515","1,539",3%,4%,5%,142,0%,1%,4%,555,1%,3%,5%,"4,821",10%,8%,7%,685,1%,1%,1%,247,1%,1%,1%,"31,439",66%,63%,58%,"3,480",7%,6%,5%,489,1%,2%,3%,"3,883",8%,11%,11%,235,0%,1%,1%
E14000758,Hyndburn,E12000002,North West,"66,827","25,425","41,402","1,444",3%,4%,5%,16,0%,1%,4%,369,1%,3%,5%,"2,571",6%,8%,7%,422,1%,1%,1%,274,1%,1%,1%,"28,087",68%,63%,58%,"2,999",7%,6%,5%,446,1%,2%,3%,"4,558",11%,11%,11%,216,1%,1%,1%
E14000775,Knowsley,E12000002,North West,"75,451","32,686","42,765",838,2%,4%,5%,113,0%,1%,4%,"2,372",6%,3%,5%,"5,332",12%,8%,7%,964,2%,1%,1%,176,0%,1%,1%,"24,628",58%,63%,58%,"3,500",8%,6%,5%,672,2%,2%,3%,"3,887",9%,11%,11%,283,1%,1%,1%
E14000776,Lancaster and Fleetwood,E12000002,North West,"66,158","27,929","38,229","2,140",6%,4%,5%,48,0%,1%,4%,807,2%,3%,5%,"2,435",6%,8%,7%,239,1%,1%,1%,260,1%,1%,1%,"20,981",55%,63%,58%,"2,377",6%,6%,5%,"1,653",4%,2%,3%,"6,922",18%,11%,11%,367,1%,1%,1%
E14000785,Leigh,E12000002,North West,"76,775","27,333","49,442","1,718",3%,4%,5%,34,0%,1%,4%,652,1%,3%,5%,"3,111",6%,8%,7%,198,0%,1%,1%,433,1%,1%,1%,"34,961",71%,63%,58%,"2,940",6%,6%,5%,791,2%,2%,3%,"4,379",9%,11%,11%,225,0%,1%,1%
E14000793,"Liverpool, Riverside",E12000002,North West,"95,914","47,796","48,118","1,532",3%,4%,5%,558,1%,1%,4%,"3,908",8%,3%,5%,"8,251",17%,8%,7%,645,1%,1%,1%,163,0%,1%,1%,"18,910",39%,63%,58%,"2,275",5%,6%,5%,"1,335",3%,2%,3%,"10,143",21%,11%,11%,398,1%,1%,1%
E14000794,"Liverpool, Walton",E12000002,North West,"68,605","31,277","37,328",703,2%,4%,5%,161,0%,1%,4%,"2,022",5%,3%,5%,"8,257",22%,8%,7%,663,2%,1%,1%,150,0%,1%,1%,"17,162",46%,63%,58%,"2,671",7%,6%,5%,617,2%,2%,3%,"4,664",12%,11%,11%,258,1%,1%,1%
E14000795,"Liverpool, Wavertree",E12000002,North West,"69,659","29,694","39,965","1,232",3%,4%,5%,133,0%,1%,4%,"1,562",4%,3%,5%,"8,860",22%,8%,7%,480,1%,1%,1%,162,0%,1%,1%,"19,738",49%,63%,58%,"2,151",5%,6%,5%,858,2%,2%,3%,"4,535",11%,11%,11%,254,1%,1%,1%
E14000796,"Liverpool, West Derby",E12000002,North West,"65,966","27,742","38,224",796,2%,4%,5%,64,0%,1%,4%,590,2%,3%,5%,"8,088",21%,8%,7%,602,2%,1%,1%,162,0%,1%,1%,"21,283",56%,63%,58%,"2,752",7%,6%,5%,564,1%,2%,3%,"3,072",8%,11%,11%,251,1%,1%,1%
E14000802,Macclesfield,E12000002,North West,"68,502","21,681","46,821","3,540",8%,4%,5%,47,0%,1%,4%,"1,597",3%,3%,5%,896,2%,8%,7%,224,0%,1%,1%,232,0%,1%,1%,"31,159",67%,63%,58%,"2,266",5%,6%,5%,882,2%,2%,3%,"5,671",12%,11%,11%,307,1%,1%,1%
E14000805,Makerfield,E12000002,North West,"73,370","26,106","47,264","1,369",3%,4%,5%,17,0%,1%,4%,"1,143",2%,3%,5%,"2,542",5%,8%,7%,236,0%,1%,1%,378,1%,1%,1%,"34,255",72%,63%,58%,"3,170",7%,6%,5%,697,1%,2%,3%,"3,255",7%,11%,11%,202,0%,1%,1%
E14000807,Manchester Central,E12000002,North West,"107,297","51,566","55,731","1,745",3%,4%,5%,"1,101",2%,1%,4%,"2,341",4%,3%,5%,"12,097",22%,8%,7%,407,1%,1%,1%,178,0%,1%,1%,"18,941",34%,63%,58%,"2,191",4%,6%,5%,"1,910",3%,2%,3%,"14,475",26%,11%,11%,345,1%,1%,1%
E14000808,"Manchester, Gorton",E12000002,North West,"83,400","40,908","42,492","1,472",3%,4%,5%,274,1%,1%,4%,"1,173",3%,3%,5%,"12,106",28%,8%,7%,434,1%,1%,1%,176,0%,1%,1%,"18,110",43%,63%,58%,"1,997",5%,6%,5%,"2,106",5%,2%,3%,"4,281",10%,11%,11%,363,1%,1%,1%
E14000809,"Manchester, Withington",E12000002,North West,"78,360","27,826","50,534","2,272",4%,4%,5%,287,1%,1%,4%,"1,445",3%,3%,5%,"11,222",22%,8%,7%,244,0%,1%,1%,198,0%,1%,1%,"25,842",51%,63%,58%,"1,919",4%,6%,5%,"2,895",6%,2%,3%,"3,961",8%,11%,11%,249,0%,1%,1%
E14000825,Morecambe and Lunesdale,E12000002,North West,"62,983","23,207","39,776","1,987",5%,4%,5%,25,0%,1%,4%,694,2%,3%,5%,"2,180",5%,8%,7%,271,1%,1%,1%,400,1%,1%,1%,"25,302",64%,63%,58%,"2,615",7%,6%,5%,"1,517",4%,2%,3%,"4,516",11%,11%,11%,269,1%,1%,1%
E14000870,Oldham East and Saddleworth,E12000002,North West,"72,789","28,091","44,698","1,844",4%,4%,5%,45,0%,1%,4%,674,2%,3%,5%,"4,209",9%,8%,7%,448,1%,1%,1%,236,1%,1%,1%,"29,037",65%,63%,58%,"3,112",7%,6%,5%,392,1%,2%,3%,"4,446",10%,11%,11%,255,1%,1%,1%
E14000871,Oldham West and Royton,E12000002,North West,"71,859","30,123","41,736","1,078",3%,4%,5%,54,0%,1%,4%,406,1%,3%,5%,"4,778",11%,8%,7%,490,1%,1%,1%,206,0%,1%,1%,"25,585",61%,63%,58%,"3,535",8%,6%,5%,458,1%,2%,3%,"4,822",12%,11%,11%,324,1%,1%,1%
